"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox","saldomes","fornecedor","ativo","espec","saldo1"
1129,"1129","SM 1530A NF Contra Trinco p/Box Alvenaria ",8.78,5.85,47,"FINANCEIRO",0,8.78,50,50,20,0,"*",7.61,30,0.00,"*","*","*","*",2.90,0,"OK 2021","060",23.00,"*",1,"GLASSPEÇAS          ",1043,1,"83024100","1800","UND","0000",0.000,"*",10.00,18.00,0.00,"1007400",0,0,5102,0,0,"*",2.00,138135,0,1,23.00
1130,"1130","SM 1530A PT Contra Trinco p/Box Alv - Glasspeças",8.80,5.85,47,"FINANCEIRO",0,8.80,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",2.90,0,"OK 2021","060",68.00,"*",1,"GLASSPEÇAS          ",1044,1,"83014000","1800","UND","0000",0.000,"*",36.00,13.00,-1.00,"1007400",0,0,5102,0,0,"*",32.00,138135,0,1,68.00
1134,"1134","SM 1531 NF Contra Fec c/Batedor - Glasspeças",22.80,15.18,47,"FINANCEIRO",0,22.80,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",11.23,0,"OK 2021","060",13.00,"*",1,"GLASSPEÇAS          ",1048,1,"83024100","1800","UND","0000",0.000,"*",-11.00,23.00,-1.00,"1007400",0,0,5102,0,0,"*",4.00,138135,0,1,13.00
1135,"1135","SM 1531 PT Contra Fec c/Batedor - Glasspeças",22.80,15.18,47,"FINANCEIRO",0,22.80,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",11.23,0,"OK 2021","060",25.00,"*",1,"GLASSPEÇAS          ",1049,1,"83024100","1800","UND","0000",0.000,"*",43.00,162.00,0.00,"1007400",0,60,5405,5,3,"*",-9.00,138135,0,1,32.00
1171,"1171","SM 1636 BC Pino Prolong p/Puxador - Glasspeças",25.03,8.63,47,"FINANCEIRO",0,25.03,190,190,0,0,"*",21.58,150,0.00,"*","*","*","*",6.28,0,"OK 2021","060",226.00,"*",1,"GLASSPEÇAS          ",1057,1,"83024100","1800","UND","0000",0.000,"*",-8.00,-120.00,134.00,"1007400",0,60,5405,5,3,"*",264.00,138135,0,1,231.00
1173,"1173","SM 1636 CR Pino Prolong p/Puxador - Glasspeças",19.28,12.82,47,"FINANCEIRO",0,19.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",6.28,0,"OK 2021","060",12.00,"*",1,"GLASSPEÇAS          ",1059,1,"83024100","1800","UND","0000",0.000,"*",106.00,174.00,-1.00,"1007400",0,60,5405,5,3,"*",3.00,138135,0,1,17.00
1174,"1174","SM 1636 NF Pino Prolong p/Puxador - Glasspeças",25.03,8.63,47,"FINANCEIRO",0,25.03,190,190,0,0,"*",21.58,150,0.00,"*","*","*","*",6.28,0,"OK 2021","060",13.00,"*",1,"GLASSPEÇAS          ",1060,1,"83024100","1800","UND","0000",0.000,"*",26.00,15.00,-3.00,"1007400",0,0,5102,0,0,"*",4.00,138135,0,1,13.00
1176,"1176","TRINCO DE PRESSAO PORTA DE ABRIR BC -GLASS PECAS",25.76,17.17,47,"FINANCEIRO",0,25.76,50,50,0,0,"*",22.32,30,0.00,"*","*","*","*",10.84,0,"OK 2021","060",189.00,"*",1,"GLASSPEÇAS          ",1062,1,"76101000","1800","UND","0000",0.000,"*",43.00,198.00,-4.00,"1007400",0,60,5405,5,3,"*",-38.00,138135,0,1,189.00
1196,"1196","SM 1801 BC Contra Trinco p/1523 Alv - Glasspeças",3.95,2.63,47,"COMPRAS",0,3.95,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",1.52,0,"OK 2021","060",82.00,"*",1,"GLASSPEÇAS          ",1082,1,"83014000","1800","UND","0000",0.000,"*",196.00,-432.00,582.00,"1007400",0,60,5405,5,3,"*",122.00,138135,0,1,67.00
1198,"1198","SM 1801 CR Contra Trinco p/1523 Alv - Glasspeças",3.95,2.63,47,"FINANCEIRO",0,3.95,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",1.52,0,"OK 2021","060",69.00,"*",1,"GLASSPEÇAS          ",1083,1,"83024100","1800","UND","0000",0.000,"*",171.00,165.00,-8.00,"1007400",0,60,5405,5,3,"*",34.00,138135,0,1,73.00
