"codigo","referencia","descrição","preço","custo","linha","usuario","comissão","preço_vista","mvista","mprazo","estmin","estmax","fabrica","menor","mmenor","promoção","letras","balança","marca","modelo","cmedio","outros","clas_fiscal","sit_fiscal","saldo","unidade","empresa","nomelinha","auto","subs","ncm","icm","und","aliquota","saldoa","ippt","saldoc","saldoatual","dif","cest","origem","csosn","cfop","idcsosn","idcfop","promox"
5333,"5333","Antilope 750 Porta E",405.35,293.05,19,"SISTEMA",0,405.35,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",78.96,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",4046,1,"70052100","1800","UND","0000",0.000,"*",4.00,7.00,0.00,"1003500",0,60,5405,5,3,"*"
5334,"5334","Antilope 800 Porta E",432.42,312.59,19,"SISTEMA",0,432.42,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",84.22,0,"OK 2021","060",3.00,"*",1,"VIDRO               ",4047,1,"70052100","1800","UND","0000",0.000,"*",3.00,5.00,0.00,"1003500",0,60,5405,5,3,"*"
5335,"5335","Antilope 850 Porta E",459.41,332.14,19,"SISTEMA",0,459.41,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",89.49,0,"OK 2021","060",9.00,"*",1,"VIDRO               ",4048,1,"70052100","1800","UND","0000",0.000,"*",7.00,6.00,0.00,"1003500",0,0,5102,0,0,"*"
5336,"5336","Antilope 900 Porta E",486.39,351.67,19,"SISTEMA",0,486.39,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",94.75,0,"OK 2021","060",3.00,"*",1,"VIDRO               ",4049,1,"70052100","1800","UND","0000",0.000,"*",6.00,4.00,0.00,"1003500",0,0,5102,0,0,"*"
6606,"6606","Fumê 950 Porta",419.28,293.04,19,"SISTEMA",0,419.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",5167,1,"70071900","1800","UND","0000",0.000,"*",1.00,0.00,0.00,"1003600",0,0,5102,0,0,"*"
6607,"6607","Fumê 950 Fixo",411.51,287.59,19,"SISTEMA",0,411.51,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",5168,1,"70071900","1800","UND","0000",0.000,"*",2.00,1.00,0.00,"1003600",0,0,5102,0,0,"*"
6608,"6608","Incolor 950 Porta ",288.70,205.77,19,"SISTEMA",0,288.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",2.00,"*",1,"VIDRO               ",5169,1,"70071900","1800","UND","0000",0.000,"*",3.00,-4.00,0.00,"1003600",0,60,5405,5,3,"*"
6609,"6609","Incolor 950 Fixo",288.70,205.77,19,"SISTEMA",0,288.70,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",4.00,"*",1,"VIDRO               ",5170,1,"70071900","1800","UND","0000",0.000,"*",7.00,1.00,0.00,"1003600",0,60,5405,5,3,"*"
6801,"6801","Bronze 950 Fixo ",777.55,561.83,19,"SISTEMA",0,777.55,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",4.00,"*",1,"VIDRO               ",5350,1,"70071900","1800","UND","0000",0.000,"*",2.00,2.00,0.00,"1003600",0,60,5405,5,3,"*"
6802,"6802","Bronze 950 Porta",792.31,572.49,19,"SISTEMA",0,792.31,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",5351,1,"70071900","1800","UND","0000",0.000,"*",1.00,1.00,0.00,"1003600",0,0,5102,0,0,"*"
6803,"6803","Verde 950 Fixo ",411.51,287.59,19,"SISTEMA",0,411.51,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",1.00,"*",1,"VIDRO               ",5352,1,"70071900","1800","UND","0000",0.000,"*",0.00,2.00,0.00,"1003600",0,0,5102,0,0,"*"
6804,"6804","Verde 950 Porta",419.28,293.04,19,"SISTEMA",0,419.28,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",5353,1,"70071900","1800","UND","0000",0.000,"*",0.00,1.00,-1.00,"1003600",0,0,5102,0,0,"*"
6854,"6854","Expositor Balcão - Ideia Glass",734.00,532.00,19,"SISTEMA",0,734.00,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"Ago20","060",7.00,"*",1,"VIDRO               ",5398,1,"76101000","1800","UND","0000",0.000,"*",1.00,2.00,0.00,"1007100",0,0,5102,0,0,"*"
6949,"6949","Antilope 950 Fixo ",503.89,364.30,19,"SISTEMA",0,503.89,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",5478,1,"70052100","1800","UND","0000",0.000,"*",4.00,5.00,0.00,"1003500",0,0,5102,0,0,"*"
6950,"6950","Antilope 950 Porta D",513.46,371.22,19,"SISTEMA",0,513.46,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",5.00,"*",1,"VIDRO               ",5479,1,"70052100","1800","UND","0000",0.000,"*",3.00,3.00,0.00,"1003500",0,0,5102,0,0,"*"
6951,"6951","Antilope 950 Porta E ",513.46,371.22,19,"SISTEMA",0,513.46,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"OK 2021","060",0.00,"*",1,"VIDRO               ",5480,1,"70052100","1800","UND","0000",0.000,"*",4.00,5.00,0.00,"1003500",0,0,5102,0,0,"*"
7178,"7178","Prolongador Maxx Elegance CR - Ideia Glass",90.72,61.56,19,"SISTEMA",0,90.72,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",0.00,0,"Conf Ok","060",-421.00,"*",1,"VIDRO               ",5691,1,"73181900","1800","UND","0000",0.000,"*",63.00,62.00,1.00,"1005800",0,60,5405,0,1,"*"
9779,"9779","Incolor 900 Porta",273.50,194.94,19,"SISTEMA",0,273.50,0,0,0,0,"*",0.00,0,0.00,"*","*","*","*",88.66,0,"OK 2021","060",10.00,"*",1,"VIDRO               ",8301,1,"70071900","1800","UND","0000",0.000,"*",0.00,0.00,0.00,"1003600",0,0,5102,0,0,"*"
